2024-01-08 07:26:51+00:00 (UTC);ISS;36.1991,-42.0186;North Atlantic Ocean
2024-01-08 07:45:39+00:00 (UTC);ISS;-18.6021,4.0849;South Atlantic Ocean
2024-01-08 08:03:23+00:00 (UTC);ISS;-51.5455,78.3947;Indian Ocean
2024-01-08 08:05:54+00:00 (UTC);ISS;-49.9526,93.0522;Indian Ocean
2024-01-08 08:08:26+00:00 (UTC);ISS;-46.5193,106.2089;Indian Ocean
2024-01-08 08:10:57+00:00 (UTC);ISS;-41.6650,117.3860;Indian Ocean
2024-01-08 08:13:29+00:00 (UTC);ISS;-35.7789,126.7519;Great Australian Bight
2024-01-08 08:16:00+00:00 (UTC);ISS;-29.1808,134.6639;Mount Clarence Station SA 5723, Australia
2024-01-08 08:28:23+00:00 (UTC);ISS;7.4862,163.7379;North Pacific Ocean
2024-01-08 08:34:00+00:00 (UTC);ISS;24.0956,177.0794;North Pacific Ocean
2024-01-08 08:52:54+00:00 (UTC);ISS;49.2779,-95.3910;Unorganized Division No. 1, MB, Canada
2024-01-08 09:10:37+00:00 (UTC);ISS;5.0566,-36.9853;North Atlantic Ocean
2024-01-08 09:28:13+00:00 (UTC);ISS;-43.6735,11.6784;South Atlantic Ocean
2024-01-08 09:48:16+00:00 (UTC);ISS;-30.7098,109.4039;Indian Ocean
2024-01-08 10:07:31+00:00 (UTC);ISS;26.0361,155.3343;North Pacific Ocean
2024-01-08 10:23:05+00:00 (UTC);ISS;51.3938,-134.0363;North Pacific Ocean
2024-01-08 10:26:08+00:00 (UTC);ISS;48.7641,-116.7738;Pacific Northwest Trail, Boundary County, ID, United States of America
2024-01-08 10:31:51+00:00 (UTC);ISS;37.8095,-91.5218;State Highway YY, Crawford County, MO, United States of America
2024-01-08 10:34:22+00:00 (UTC);ISS;31.4024,-83.1582;790 Davis Road, Alapaha, GA 31622, United States of America
2024-01-08 10:36:54+00:00 (UTC);ISS;24.4268,-75.9717;Cat Island, The Bahamas
2024-01-08 10:39:35+00:00 (UTC);ISS;16.6266,-69.2536;Caribbean Sea
2024-01-08 10:44:36+00:00 (UTC);ISS;1.5270,-58.0597;East Bank Berbice, Guyana
2024-01-08 10:46:46+00:00 (UTC);ISS;-5.0395,-53.3952;Altamira, Região Geográfica Intermediária de Altamira, Brazil
2024-01-08 10:47:47+00:00 (UTC);ISS;-8.1462,-51.1518;Cumaru do Norte, Araguaia River, Região Geográfica Intermediária de Redenção, Brazil
2024-01-08 10:48:49+00:00 (UTC);ISS;-11.2117,-48.8884;Crixás do Tocantins - TO, 77463-000, Brazil
